"drugId"|"foodInteractionDescription"
"DB00001"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include chamomile, garlic, ginger, ginkgo and ginseng."
"DB00002"|""
"DB00003"|""
"DB00004"|""
"DB00005"|""
"DB00006"|"Avoid echinacea. Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
"DB00007"|""
"DB00008"|"Drink plenty of fluids."
"DB00009"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
"DB00010"|""
"DB00011"|"Avoid alcohol."
"DB00012"|"Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent."
"DB00013"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
"DB00014"|""
"DB00015"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
"DB00016"|"Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent."
"DB00017"|"Administer calcium supplement. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation). Administer vitamin supplements. Individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin D daily."
"DB00018"|""
"DB00019"|""
"DB00020"|""
"DB00022"|"Limit caffeine intake. Peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the CYP1A2 pathway."
"DB00023"|""
"DB00024"|""
"DB00025"|""
"DB00026"|""
"DB00027"|""
"DB00028"|""
"DB00029"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
"DB00030"|"Avoid alcohol. Alcohol may impair blood glucose control."
"DB00031"|"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
"DB00032"|""
"DB00033"|"Avoid excessive or chronic alcohol consumption. Interferon gamma-1b may cause fatigue, drowsiness, and confusion. These effects may be exacerbated by alcohol consumption."
"DB00034"|"Avoid alcohol."
"DB00035"|""
"DB00036"|""
"DB00038"|""
"DB00039"|""
"DB00040"|""
"DB00041"|""
"DB00042"|""
"DB00043"|""
